HCPCS_and_CPT_Code,DME_Supplier_Services_MUE_Values,MUE_Adjudication_Indicator,MUE_Rationale
J2920,25,3 Date of Service Edit: Clinical,Clinical: Data
J2930,25,3 Date of Service Edit: Clinical,Clinical: Data
J2940,0,3 Date of Service Edit: Clinical,Drug discontinued
J2941,0,3 Date of Service Edit: Clinical,CMS Policy
J2950,0,3 Date of Service Edit: Clinical,Drug discontinued
J2993,0,3 Date of Service Edit: Clinical,CMS Policy
J2995,0,3 Date of Service Edit: Clinical,Drug discontinued
J2997,0,3 Date of Service Edit: Clinical,CMS Policy
J3000,0,3 Date of Service Edit: Clinical,CMS Policy
J3010,700,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J3030,0,3 Date of Service Edit: Clinical,CMS Policy
J3060,0,3 Date of Service Edit: Clinical,CMS Policy
J3070,0,3 Date of Service Edit: Clinical,CMS Policy
J3090,0,3 Date of Service Edit: Clinical,CMS Policy
J3095,0,3 Date of Service Edit: Clinical,CMS Policy
J3101,0,3 Date of Service Edit: Clinical,CMS Policy
J3105,0,3 Date of Service Edit: Clinical,CMS Policy
J3110,0,3 Date of Service Edit: Clinical,CMS Policy
J3121,0,3 Date of Service Edit: Clinical,CMS Policy
J3145,0,3 Date of Service Edit: Clinical,CMS Policy
J3230,0,3 Date of Service Edit: Clinical,CMS Policy
J3240,0,3 Date of Service Edit: Clinical,CMS Policy
J3243,0,3 Date of Service Edit: Clinical,CMS Policy
J3246,0,3 Date of Service Edit: Clinical,CMS Policy
J3250,0,3 Date of Service Edit: Clinical,CMS Policy
J3260,0,3 Date of Service Edit: Clinical,CMS Policy
J3262,0,3 Date of Service Edit: Clinical,CMS Policy
J3265,0,3 Date of Service Edit: Clinical,Drug discontinued
J3280,0,3 Date of Service Edit: Clinical,Drug discontinued
J3300,0,3 Date of Service Edit: Clinical,CMS Policy
J3301,0,3 Date of Service Edit: Clinical,CMS Policy
J3302,0,3 Date of Service Edit: Clinical,Drug discontinued
J3303,0,3 Date of Service Edit: Clinical,CMS Policy
J3305,0,3 Date of Service Edit: Clinical,Drug discontinued
J3310,0,3 Date of Service Edit: Clinical,Drug discontinued
J3315,0,3 Date of Service Edit: Clinical,CMS Policy
J3320,0,3 Date of Service Edit: Clinical,Drug discontinued
J3350,0,3 Date of Service Edit: Clinical,Drug discontinued
J3355,0,3 Date of Service Edit: Clinical,CMS Policy
J3357,0,3 Date of Service Edit: Clinical,CMS Policy
J3358,0,3 Date of Service Edit: Clinical,CMS Policy
J3360,0,3 Date of Service Edit: Clinical,CMS Policy
J3364,0,3 Date of Service Edit: Clinical,Drug discontinued
J3365,0,3 Date of Service Edit: Clinical,Drug discontinued
J3370,0,3 Date of Service Edit: Clinical,CMS Policy
J3380,0,3 Date of Service Edit: Clinical,CMS Policy
J3385,0,3 Date of Service Edit: Clinical,CMS Policy
J3396,0,3 Date of Service Edit: Clinical,CMS Policy
J3400,0,3 Date of Service Edit: Clinical,Drug discontinued
J3410,0,3 Date of Service Edit: Clinical,CMS Policy
J3411,0,3 Date of Service Edit: Clinical,CMS Policy
J3415,0,3 Date of Service Edit: Clinical,CMS Policy
J3420,0,3 Date of Service Edit: Clinical,CMS Policy
J3430,0,3 Date of Service Edit: Clinical,CMS Policy
J3465,0,3 Date of Service Edit: Clinical,CMS Policy
J3470,0,3 Date of Service Edit: Clinical,CMS Policy
J3471,0,3 Date of Service Edit: Clinical,CMS Policy
J3472,0,3 Date of Service Edit: Clinical,CMS Policy
J3473,0,3 Date of Service Edit: Clinical,CMS Policy
J3475,0,3 Date of Service Edit: Clinical,CMS Policy
J3480,0,3 Date of Service Edit: Clinical,CMS Policy
J3485,0,3 Date of Service Edit: Clinical,CMS Policy
J3486,0,3 Date of Service Edit: Clinical,CMS Policy
J3489,0,3 Date of Service Edit: Clinical,CMS Policy
J3520,0,3 Date of Service Edit: Clinical,Drug discontinued
J3530,0,3 Date of Service Edit: Clinical,CMS Policy
J3535,0,3 Date of Service Edit: Clinical,CMS Policy
J3570,0,3 Date of Service Edit: Clinical,CMS Policy
J7030,0,3 Date of Service Edit: Clinical,CMS Policy
J7040,0,3 Date of Service Edit: Clinical,CMS Policy
J7042,0,3 Date of Service Edit: Clinical,CMS Policy
J7050,0,3 Date of Service Edit: Clinical,CMS Policy
J7060,0,3 Date of Service Edit: Clinical,CMS Policy
J7070,0,3 Date of Service Edit: Clinical,CMS Policy
J7100,0,3 Date of Service Edit: Clinical,CMS Policy
J7110,0,3 Date of Service Edit: Clinical,CMS Policy
J7120,0,3 Date of Service Edit: Clinical,CMS Policy
J7121,0,3 Date of Service Edit: Clinical,CMS Policy
J7131,0,3 Date of Service Edit: Clinical,CMS Policy
J7340,56,3 Date of Service Edit: Clinical,Clinical: Data
J7500,450,3 Date of Service Edit: Clinical,Prescribing Information
J7501,8,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J7502,240,3 Date of Service Edit: Clinical,Clinical: Data
J7503,3600,3 Date of Service Edit: Clinical,Prescribing Information
J7504,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J7505,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J7507,1200,3 Date of Service Edit: Clinical,Published Contractor Policy
J7508,9000,3 Date of Service Edit: Clinical,Prescribing Information
J7509,360,3 Date of Service Edit: Clinical,Clinical: Data
J7510,240,3 Date of Service Edit: Clinical,Clinical: Data
J7511,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J7512,7000,3 Date of Service Edit: Clinical,Prescribing Information
J7513,0,3 Date of Service Edit: Clinical,Drug discontinued
J7515,600,3 Date of Service Edit: Clinical,Clinical: Data
J7516,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J7517,480,3 Date of Service Edit: Clinical,Clinical: Data
J7518,360,3 Date of Service Edit: Clinical,Clinical: Society Comment
J7520,600,3 Date of Service Edit: Clinical,Clinical: Data
J7525,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J7527,960,3 Date of Service Edit: Clinical,Clinical: Data
J7604,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7605,186,3 Date of Service Edit: Clinical,Prescribing Information
J7606,186,3 Date of Service Edit: Clinical,Prescribing Information
J7607,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7608,222,3 Date of Service Edit: Clinical,Published Contractor Policy
J7609,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7610,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7611,1395,3 Date of Service Edit: Clinical,Published Contractor Policy
J7612,900,3 Date of Service Edit: Clinical,Clinical: Data
J7613,1395,3 Date of Service Edit: Clinical,Published Contractor Policy
J7614,900,3 Date of Service Edit: Clinical,Clinical: Data
J7615,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7620,558,3 Date of Service Edit: Clinical,Prescribing Information
J7622,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7624,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7626,186,3 Date of Service Edit: Clinical,Published Contractor Policy
J7627,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7628,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7629,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7631,744,3 Date of Service Edit: Clinical,Published Contractor Policy
J7632,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7633,0,3 Date of Service Edit: Clinical,Drug discontinued
J7634,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7635,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7636,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7637,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7638,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7639,234,3 Date of Service Edit: Clinical,Published Contractor Policy
J7640,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7641,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7642,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7643,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7644,279,3 Date of Service Edit: Clinical,Published Contractor Policy
J7645,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7647,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7648,0,3 Date of Service Edit: Clinical,Drug discontinued
J7649,0,3 Date of Service Edit: Clinical,Drug discontinued
J7650,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7657,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7658,0,3 Date of Service Edit: Clinical,Drug discontinued
J7659,0,3 Date of Service Edit: Clinical,Drug discontinued
J7660,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7665,0,3 Date of Service Edit: Clinical,Drug discontinued
J7667,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7668,0,3 Date of Service Edit: Clinical,Drug discontinued
J7669,0,3 Date of Service Edit: Clinical,Drug discontinued
J7670,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7674,0,3 Date of Service Edit: Clinical,CMS Policy
J7676,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7680,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7681,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7682,112,3 Date of Service Edit: Clinical,Prescribing Information
J7683,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7684,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7685,0,3 Date of Service Edit: Clinical,Compounded Drug Policy
J7686,28,3 Date of Service Edit: Clinical,Clinical: Data
J7999,0,3 Date of Service Edit: Clinical,Published Contractor Policy
J8499,0,3 Date of Service Edit: Clinical,CMS Policy
J8501,57,3 Date of Service Edit: Clinical,CMS Policy
J8515,0,3 Date of Service Edit: Clinical,CMS Policy
J8530,180,3 Date of Service Edit: Clinical,Clinical: Data
J8540,216,3 Date of Service Edit: Clinical,Clinical: Society Comment
J8565,0,3 Date of Service Edit: Clinical,CMS Policy
J8610,12,3 Date of Service Edit: Clinical,Clinical: Data
J8650,14,3 Date of Service Edit: Clinical,CMS Policy
J8655,1,3 Date of Service Edit: Clinical,Prescribing Information
J8670,180,3 Date of Service Edit: Clinical,CMS Policy
J9000,20,3 Date of Service Edit: Clinical,Clinical: Data
J9015,0,3 Date of Service Edit: Clinical,CMS Policy
J9017,0,3 Date of Service Edit: Clinical,CMS Policy
J9019,0,3 Date of Service Edit: Clinical,CMS Policy
J9020,0,3 Date of Service Edit: Clinical,Drug discontinued
J9022,0,3 Date of Service Edit: Clinical,CMS Policy
J9023,0,3 Date of Service Edit: Clinical,CMS Policy
J9025,0,3 Date of Service Edit: Clinical,CMS Policy
J9027,0,3 Date of Service Edit: Clinical,CMS Policy
J9030,0,3 Date of Service Edit: Clinical,CMS Policy
J9032,0,3 Date of Service Edit: Clinical,CMS Policy
J9033,0,3 Date of Service Edit: Clinical,CMS Policy
J9034,0,3 Date of Service Edit: Clinical,CMS Policy
J9035,0,3 Date of Service Edit: Clinical,CMS Policy
J9040,4,3 Date of Service Edit: Clinical,Prescribing Information
J9041,0,3 Date of Service Edit: Clinical,CMS Policy
J9042,0,3 Date of Service Edit: Clinical,CMS Policy
J9043,0,3 Date of Service Edit: Clinical,CMS Policy
J9044,0,3 Date of Service Edit: Clinical,CMS Policy
J9045,0,3 Date of Service Edit: Clinical,CMS Policy
J9047,0,3 Date of Service Edit: Clinical,CMS Policy
J9050,0,3 Date of Service Edit: Clinical,CMS Policy
J9055,0,3 Date of Service Edit: Clinical,CMS Policy
J9060,0,3 Date of Service Edit: Clinical,CMS Policy
J9065,100,3 Date of Service Edit: Clinical,Prescribing Information
J9070,0,3 Date of Service Edit: Clinical,CMS Policy
J9098,0,3 Date of Service Edit: Clinical,CMS Policy
J9100,60,3 Date of Service Edit: Clinical,Clinical: Data
J9120,0,3 Date of Service Edit: Clinical,CMS Policy
J9130,0,3 Date of Service Edit: Clinical,CMS Policy
J9145,0,3 Date of Service Edit: Clinical,CMS Policy
J9150,0,3 Date of Service Edit: Clinical,CMS Policy
J9151,0,3 Date of Service Edit: Clinical,CMS Policy
J9155,0,3 Date of Service Edit: Clinical,CMS Policy
J9160,0,3 Date of Service Edit: Clinical,CMS Policy
J9165,0,3 Date of Service Edit: Clinical,Drug discontinued
J9171,0,3 Date of Service Edit: Clinical,CMS Policy
J9175,0,3 Date of Service Edit: Clinical,CMS Policy
J9176,0,3 Date of Service Edit: Clinical,CMS Policy
J9178,0,3 Date of Service Edit: Clinical,CMS Policy
J9179,0,3 Date of Service Edit: Clinical,CMS Policy
J9181,11,3 Date of Service Edit: Clinical,Prescribing Information
J9185,0,3 Date of Service Edit: Clinical,CMS Policy
J9190,20,3 Date of Service Edit: Clinical,Clinical: Data
J9200,16,3 Date of Service Edit: Clinical,Clinical: Data
J9201,0,3 Date of Service Edit: Clinical,CMS Policy
J9202,0,3 Date of Service Edit: Clinical,CMS Policy
J9203,0,3 Date of Service Edit: Clinical,CMS Policy
J9205,0,3 Date of Service Edit: Clinical,CMS Policy
J9206,0,3 Date of Service Edit: Clinical,CMS Policy
J9207,0,3 Date of Service Edit: Clinical,CMS Policy
J9208,0,3 Date of Service Edit: Clinical,CMS Policy
J9209,0,3 Date of Service Edit: Clinical,CMS Policy
J9211,0,3 Date of Service Edit: Clinical,CMS Policy
J9212,0,3 Date of Service Edit: Clinical,Drug discontinued
J9213,0,3 Date of Service Edit: Clinical,CMS Policy
J9214,0,3 Date of Service Edit: Clinical,CMS Policy
J9215,0,3 Date of Service Edit: Clinical,Drug discontinued
J9216,0,3 Date of Service Edit: Clinical,CMS Policy
J9217,0,3 Date of Service Edit: Clinical,CMS Policy
J9218,0,3 Date of Service Edit: Clinical,CMS Policy
J9219,0,3 Date of Service Edit: Clinical,CMS Policy
J9225,0,3 Date of Service Edit: Clinical,CMS Policy
J9226,0,3 Date of Service Edit: Clinical,CMS Policy
J9228,0,3 Date of Service Edit: Clinical,CMS Policy
J9230,0,3 Date of Service Edit: Clinical,CMS Policy
J9245,0,3 Date of Service Edit: Clinical,CMS Policy
J9250,0,3 Date of Service Edit: Clinical,CMS Policy
J9260,0,3 Date of Service Edit: Clinical,CMS Policy
J9261,0,3 Date of Service Edit: Clinical,CMS Policy
J9262,0,3 Date of Service Edit: Clinical,CMS Policy
J9263,0,3 Date of Service Edit: Clinical,CMS Policy
J9264,0,3 Date of Service Edit: Clinical,CMS Policy
J9266,0,3 Date of Service Edit: Clinical,CMS Policy
J9267,0,3 Date of Service Edit: Clinical,CMS Policy
J9268,0,3 Date of Service Edit: Clinical,CMS Policy
J9270,0,3 Date of Service Edit: Clinical,Drug discontinued
J9271,0,3 Date of Service Edit: Clinical,CMS Policy
J9280,0,3 Date of Service Edit: Clinical,CMS Policy
J9285,0,3 Date of Service Edit: Clinical,CMS Policy
J9293,0,3 Date of Service Edit: Clinical,CMS Policy
J9295,0,3 Date of Service Edit: Clinical,CMS Policy
J9299,0,3 Date of Service Edit: Clinical,CMS Policy
J9301,0,3 Date of Service Edit: Clinical,CMS Policy
J9302,0,3 Date of Service Edit: Clinical,CMS Policy
J9303,0,3 Date of Service Edit: Clinical,CMS Policy
J9305,0,3 Date of Service Edit: Clinical,CMS Policy
J9306,0,3 Date of Service Edit: Clinical,CMS Policy
J9307,0,3 Date of Service Edit: Clinical,CMS Policy
J9308,0,3 Date of Service Edit: Clinical,CMS Policy
J9320,0,3 Date of Service Edit: Clinical,CMS Policy
J9325,0,3 Date of Service Edit: Clinical,CMS Policy
J9328,0,3 Date of Service Edit: Clinical,CMS Policy
J9330,0,3 Date of Service Edit: Clinical,CMS Policy
J9340,0,3 Date of Service Edit: Clinical,CMS Policy
J9351,0,3 Date of Service Edit: Clinical,CMS Policy
J9352,0,3 Date of Service Edit: Clinical,CMS Policy
J9354,0,3 Date of Service Edit: Clinical,CMS Policy
J9355,0,3 Date of Service Edit: Clinical,CMS Policy
J9357,0,3 Date of Service Edit: Clinical,CMS Policy
J9360,45,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
J9370,4,3 Date of Service Edit: Clinical,Clinical: Data
J9371,0,3 Date of Service Edit: Clinical,CMS Policy
J9390,0,3 Date of Service Edit: Clinical,CMS Policy
J9395,0,3 Date of Service Edit: Clinical,CMS Policy
J9400,0,3 Date of Service Edit: Clinical,CMS Policy
J9600,0,3 Date of Service Edit: Clinical,CMS Policy
J9999,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0001,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0002,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0003,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0004,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0005,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0006,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0007,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0008,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0009,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0010,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0011,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0012,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0013,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0014,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0015,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0017,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0018,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0019,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0020,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0037,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0038,2,3 Date of Service Edit: Clinical,Anatomic Consideration
K0039,2,3 Date of Service Edit: Clinical,Anatomic Consideration
K0040,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0041,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0042,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0043,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0044,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0045,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0046,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0047,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0050,2,3 Date of Service Edit: Clinical,Nature of Equipment
K0051,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0052,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0053,2,2 Date of Service Edit: Policy,Anatomic Consideration
K0056,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0065,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0069,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0070,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0071,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0072,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0073,2,3 Date of Service Edit: Clinical,Nature of Equipment
K0077,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0098,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
K0105,1,3 Date of Service Edit: Clinical,Nature of Equipment
K0195,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
K0455,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0462,1,3 Date of Service Edit: Clinical,Clinical: Data
K0553,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0554,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0604,6,3 Date of Service Edit: Clinical,Clinical: Data
K0605,4,3 Date of Service Edit: Clinical,Clinical: Data
K0606,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0607,1,3 Date of Service Edit: Clinical,Nature of Equipment
K0608,1,3 Date of Service Edit: Clinical,Nature of Equipment
K0609,1,3 Date of Service Edit: Clinical,Nature of Equipment
K0669,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0672,4,3 Date of Service Edit: Clinical,Nature of Equipment
K0730,1,3 Date of Service Edit: Clinical,Nature of Equipment
K0733,2,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0738,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0740,0,3 Date of Service Edit: Clinical,CMS Policy
K0743,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0800,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0801,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0802,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0806,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0807,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0808,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0812,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0813,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0814,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0815,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0816,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0820,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0821,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0822,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0823,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0824,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0825,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0826,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0827,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0828,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0829,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0830,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0831,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0835,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0836,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0837,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0838,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0839,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0840,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0841,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0842,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0843,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0848,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0849,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0850,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0851,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0852,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0853,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0854,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0855,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0856,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0857,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0858,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0859,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0860,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0861,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0862,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0863,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0864,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0868,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0869,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0870,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0871,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0877,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0878,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0879,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0880,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0884,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0885,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0886,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0890,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0891,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0898,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K0899,0,3 Date of Service Edit: Clinical,Published Contractor Policy
K0900,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1001,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1002,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1003,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1004,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1005,300,3 Date of Service Edit: Clinical,Nature of Equipment
K1006,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K1007,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K1009,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K1013,1,3 Date of Service Edit: Clinical,Nature of Equipment
K1014,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
K1015,2,2 Date of Service Edit: Policy,Anatomic Consideration
K1016,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K1017,3,2 Date of Service Edit: Policy,CMS Policy
K1018,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
K1019,3,2 Date of Service Edit: Policy,CMS Policy
K1020,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0112,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0113,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0120,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0130,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0140,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0150,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0160,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0170,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0172,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0174,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0180,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0190,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0200,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
L0220,1,3 Date of Service Edit: Clinical,Anatomic Consideration
L0450,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0452,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0454,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0455,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0456,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0457,1,2 Date of Service Edit: Policy,Anatomic Consideration
L0458,1,2 Date of Service Edit: Policy,Anatomic Consideration
